station,train_name,final_destination_station,delay_in_min,time,is_canceled,train_type,train_line_ride_id,train_line_station_num,arrival_planned_time,arrival_change_time,departure_planned_time,departure_change_time
Stuttgart Hbf,ICE 594,Berlin Gesundbrunnen,4,2024-07-01 16:55:00,False,ICE,1140779865956290650-2407011446,5,2024-07-01 16:43:00,2024-07-01 16:50:00,2024-07-01 16:51:00,2024-07-01 16:55:00
Stuttgart Hbf,ICE 914,Dortmund Hbf,9,2024-07-01 16:46:00,False,ICE,-1253548023198098278-2407011428,5,2024-07-01 16:31:00,2024-07-01 16:41:00,2024-07-01 16:37:00,2024-07-01 16:46:00
Stuttgart Hbf,ICE 1011,München Hbf,22,2024-07-01 17:50:00,False,ICE,8564432605510706771-2407011349,10,2024-07-01 17:21:00,2024-07-01 17:40:00,2024-07-01 17:28:00,2024-07-01 17:50:00
Stuttgart Hbf,ICE 562,Saarbrücken Hbf,3,2024-07-01 17:11:00,False,ICE,-6869650552962585885-2407011502,5,2024-07-01 17:02:00,2024-07-01 17:04:00,2024-07-01 17:08:00,2024-07-01 17:11:00
Stuttgart Hbf,ICE 599,München Hbf,5,2024-07-01 17:19:00,False,ICE,8059314318384301883-2407011126,10,2024-07-01 17:08:00,2024-07-01 17:14:00,2024-07-01 17:14:00,2024-07-01 17:19:00
Stuttgart Hbf,ICE 514,Hamburg-Altona,0,2024-07-01 17:51:00,False,ICE,-5040855886902453859-2407011528,5,2024-07-01 17:45:00,2024-07-01 17:30:00,2024-07-01 17:51:00,2024-07-01 17:51:00
Stuttgart Hbf,ICE 1069,München Hbf,2,2024-07-01 18:59:00,False,ICE,7280991471195430281-2407011805,3,2024-07-01 18:51:00,2024-07-01 18:47:00,2024-07-01 18:57:00,2024-07-01 18:59:00
Stuttgart Hbf,ICE 912,Dortmund Hbf,1,2024-07-01 18:39:00,False,ICE,-977669644680017628-2407011628,5,2024-07-01 18:32:00,2024-07-01 18:32:00,2024-07-01 18:38:00,2024-07-01 18:39:00
Stuttgart Hbf,ICE 592,Hamburg-Altona,2,2024-07-01 18:53:00,False,ICE,5089820149948252230-2407011646,5,2024-07-01 18:43:00,2024-07-01 18:44:00,2024-07-01 18:51:00,2024-07-01 18:53:00
Stuttgart Hbf,ICE 611,München Hbf,4,2024-07-01 18:18:00,False,ICE,5653087570567167872-2407011129,15,2024-07-01 18:08:00,2024-07-01 18:13:00,2024-07-01 18:14:00,2024-07-01 18:18:00
Stuttgart Hbf,ICE 1099,München Hbf,6,2024-07-01 20:04:00,False,ICE,-8959018065734509300-2407011819,6,2024-07-01 19:52:00,2024-07-01 19:59:00,2024-07-01 19:58:00,2024-07-01 20:04:00
Stuttgart Hbf,ICE 266,Basel SBB,2,2024-07-01 19:14:00,False,ICE,-2795453744905001153-2407011658,6,2024-07-01 19:02:00,2024-07-01 19:03:00,2024-07-01 19:12:00,2024-07-01 19:14:00
Stuttgart Hbf,ICE 1211,Innsbruck Hbf,26,2024-07-01 19:41:00,False,ICE,8560770616564367826-2407011316,11,2024-07-01 19:08:00,2024-07-01 19:36:00,2024-07-01 19:15:00,2024-07-01 19:41:00
Stuttgart Hbf,ICE 512,Münster(Westf)Hbf,3,2024-07-01 19:54:00,False,ICE,7537395545451740415-2407011728,5,2024-07-01 19:45:00,2024-07-01 19:46:00,2024-07-01 19:51:00,2024-07-01 19:54:00
Stuttgart Hbf,ICE 1013,München Hbf,28,2024-07-01 19:56:00,False,ICE,2333246513660073790-2407011550,10,2024-07-01 19:22:00,2024-07-01 19:30:00,2024-07-01 19:28:00,2024-07-01 19:56:00
Stuttgart Hbf,ICE 590,Frankfurt(Main)Hbf,5,2024-07-01 20:56:00,False,ICE,-7610672940066525446-2407011846,5,2024-07-01 20:43:00,2024-07-01 20:51:00,2024-07-01 20:51:00,2024-07-01 20:56:00
Stuttgart Hbf,ICE 910,Düsseldorf Hbf,1,2024-07-01 20:39:00,False,ICE,6195485783263057734-2407011828,5,2024-07-01 20:32:00,2024-07-01 20:35:00,2024-07-01 20:38:00,2024-07-01 20:39:00
Stuttgart Hbf,ICE 613,München Hbf,2,2024-07-01 20:16:00,False,ICE,5295243416856313869-2407011237,15,2024-07-01 20:08:00,2024-07-01 20:09:00,2024-07-01 20:14:00,2024-07-01 20:16:00
Stuttgart Hbf,ICE 560,Karlsruhe Hbf,5,2024-07-01 21:16:00,False,ICE,-1895474681646249837-2407011901,6,2024-07-01 21:03:00,2024-07-01 21:11:00,2024-07-01 21:11:00,2024-07-01 21:16:00
Stuttgart Hbf,ICE 510,Hamburg-Altona,1,2024-07-01 21:52:00,False,ICE,8322424274180843926-2407011928,5,2024-07-01 21:45:00,2024-07-01 21:45:00,2024-07-01 21:51:00,2024-07-01 21:52:00
Stuttgart Hbf,ICE 1015,München Hbf,3,2024-07-01 21:31:00,False,ICE,-6727683722954373951-2407011750,10,2024-07-01 21:22:00,2024-07-01 21:25:00,2024-07-01 21:28:00,2024-07-01 21:31:00
Stuttgart Hbf,ICE 693,München Hbf,3,2024-07-01 21:18:00,False,ICE,-1412524464226526551-2407011526,10,2024-07-01 21:08:00,2024-07-01 21:13:00,2024-07-01 21:15:00,2024-07-01 21:18:00
Stuttgart Hbf,ICE 615,München Hbf,2,2024-07-01 22:16:00,False,ICE,-5425302918995479956-2407011529,15,2024-07-01 22:08:00,2024-07-01 22:09:00,2024-07-01 22:14:00,2024-07-01 22:16:00
Stuttgart Hbf,ICE 990,Hamburg-Altona,2,2024-07-01 22:53:00,False,ICE,-2320340282101811304-2407012043,6,2024-07-01 22:43:00,2024-07-01 22:44:00,2024-07-01 22:51:00,2024-07-01 22:53:00
Stuttgart Hbf,ICE 617,München Hbf,16,2024-07-02 00:34:00,False,ICE,6194893901306646476-2407011729,17,2024-07-02 00:08:00,2024-07-02 00:19:00,2024-07-02 00:18:00,2024-07-02 00:34:00
Stuttgart Hbf,ICE 698,Berlin Hbf,0,2024-07-02 00:11:00,False,ICE,7108274583246193747-2407012151,5,2024-07-02 00:01:00,2024-07-02 00:00:00,2024-07-02 00:11:00,2024-07-02 00:11:00
Stuttgart Hbf,ICE 215,München Hbf,37,2024-07-02 02:47:00,False,ICE,-3639105195943060538-2407020017,3,2024-07-02 02:04:00,2024-07-02 02:39:00,2024-07-02 02:10:00,2024-07-02 02:47:00
Stuttgart Hbf,ICE 618,Kiel Hbf,0,2024-07-02 02:22:00,False,ICE,2686007473625185344-2407020001,5,2024-07-02 02:16:00,2024-07-02 02:13:00,2024-07-02 02:22:00,2024-07-02 02:22:00
Stuttgart Hbf,ICE 619,München Hbf,22,2024-07-02 04:01:00,False,ICE,7474414276230536927-2407011838,20,2024-07-02 03:33:00,2024-07-02 03:40:00,2024-07-02 03:39:00,2024-07-02 04:01:00
Stuttgart Hbf,ICE 699,München Hbf,0,2024-07-02 05:12:00,False,ICE,-7138074359361066746-2407011919,16,2024-07-02 04:52:00,2024-07-02 04:48:00,2024-07-02 05:12:00,2024-07-02 05:12:00
Stuttgart Hbf,ICE 616,Hamburg-Altona,1,2024-07-02 05:52:00,False,ICE,-8624992757107064587-2407020322,5,2024-07-02 05:45:00,2024-07-02 05:45:00,2024-07-02 05:51:00,2024-07-02 05:52:00
Stuttgart Hbf,ICE 1061,München Hbf,0,2024-07-02 05:52:00,False,ICE,5427594935199921006-2407020453,5,2024-07-02 05:45:00,2024-07-02 05:43:00,2024-07-02 05:52:00,2024-07-02 05:52:00
Stuttgart Hbf,ICE 561,München Hbf,1,2024-07-02 06:51:00,False,ICE,-605877143281749034-2407020600,3,2024-07-02 06:44:00,2024-07-02 06:44:00,2024-07-02 06:50:00,2024-07-02 06:51:00
Stuttgart Hbf,ICE 991,München Hbf,5,2024-07-02 07:20:00,False,ICE,4178793572863103484-2407020526,5,2024-07-02 07:07:00,2024-07-02 07:15:00,2024-07-02 07:15:00,2024-07-02 07:20:00
Stuttgart Hbf,ICE 614,Hamburg-Altona,1,2024-07-02 07:52:00,False,ICE,67517114520381301-2407020532,5,2024-07-02 07:45:00,2024-07-02 07:45:00,2024-07-02 07:51:00,2024-07-02 07:52:00
Stuttgart Hbf,ICE 1068,Karlsruhe Hbf,0,2024-07-02 07:10:00,False,ICE,1847313071699172804-2407020500,5,2024-07-02 07:04:00,2024-07-02 07:00:00,2024-07-02 07:10:00,2024-07-02 07:10:00
Stuttgart Hbf,ICE 911,München Hbf,1,2024-07-02 07:29:00,False,ICE,-5135229961965226618-2407020603,2,2024-07-02 07:20:00,2024-07-02 07:24:00,2024-07-02 07:28:00,2024-07-02 07:29:00
Stuttgart Hbf,ICE 1098,Frankfurt(Main)Hbf,0,2024-07-02 08:05:00,True,ICE,1402637927240724353-2407020544,6,2024-07-02 07:59:00,2024-07-02 07:59:00,2024-07-02 08:05:00,2024-07-02 08:05:00
Stuttgart Hbf,ICE 1012,Dortmund Hbf,0,2024-07-02 08:39:00,False,ICE,-6324333303227400345-2407020626,5,2024-07-02 08:31:00,2024-07-02 08:34:00,2024-07-02 08:39:00,2024-07-02 08:39:00
Stuttgart Hbf,ICE 511,München Hbf,0,2024-07-02 08:14:00,False,ICE,7137833056273713088-2407020045,17,2024-07-02 08:08:00,2024-07-02 08:07:00,2024-07-02 08:14:00,2024-07-02 08:14:00
Stuttgart Hbf,ICE 267,München Hbf,11,2024-07-02 09:02:00,False,ICE,9036257144873715932-2407020550,11,2024-07-02 08:45:00,2024-07-02 08:50:00,2024-07-02 08:51:00,2024-07-02 09:02:00
Stuttgart Hbf,ICE 692,Berlin Hbf,1,2024-07-02 08:52:00,False,ICE,-690776802853422910-2407020641,5,2024-07-02 08:44:00,2024-07-02 08:44:00,2024-07-02 08:51:00,2024-07-02 08:52:00
Stuttgart Hbf,ICE 591,München Hbf,1,2024-07-02 09:16:00,False,ICE,-9076044575966614071-2407020302,15,2024-07-02 09:08:00,2024-07-02 09:11:00,2024-07-02 09:15:00,2024-07-02 09:16:00
Stuttgart Hbf,ICE 612,Kiel Hbf,3,2024-07-02 09:54:00,False,ICE,-7184453857839759572-2407020728,5,2024-07-02 09:45:00,2024-07-02 09:47:00,2024-07-02 09:51:00,2024-07-02 09:54:00
Stuttgart Hbf,ICE 913,München Hbf,3,2024-07-02 09:31:00,False,ICE,-6165068286223376269-2407020547,10,2024-07-02 09:22:00,2024-07-02 09:26:00,2024-07-02 09:28:00,2024-07-02 09:31:00
Stuttgart Hbf,ICE 563,München Hbf,9,2024-07-02 11:00:00,False,ICE,7515891464844108057-2407020827,6,2024-07-02 10:45:00,2024-07-02 10:45:00,2024-07-02 10:51:00,2024-07-02 11:00:00
Stuttgart Hbf,ICE 1010,Dortmund Hbf,4,2024-07-02 10:41:00,False,ICE,-1202781486977583710-2407020828,5,2024-07-02 10:31:00,2024-07-02 10:36:00,2024-07-02 10:37:00,2024-07-02 10:41:00
Stuttgart Hbf,ICE 513,München Hbf,4,2024-07-02 10:18:00,False,ICE,-1316725331766652964-2407020602,10,2024-07-02 10:08:00,2024-07-02 10:13:00,2024-07-02 10:14:00,2024-07-02 10:18:00
Stuttgart Hbf,ICE 690,Berlin Gesundbrunnen,2,2024-07-02 10:53:00,False,ICE,-2543008509222161707-2407020846,5,2024-07-02 10:43:00,2024-07-02 10:48:00,2024-07-02 10:51:00,2024-07-02 10:53:00
Stuttgart Hbf,ICE 115,Klagenfurt Hbf,4,2024-07-02 12:02:00,False,ICE,-1244506323428825924-2407020631,18,2024-07-02 11:53:00,2024-07-02 11:57:00,2024-07-02 11:58:00,2024-07-02 12:02:00
Stuttgart Hbf,ICE 1290,Frankfurt(Main)Hbf,2,2024-07-02 12:07:00,False,ICE,-9206844568518319678-2407020800,11,2024-07-02 11:59:00,2024-07-02 12:00:00,2024-07-02 12:05:00,2024-07-02 12:07:00
Stuttgart Hbf,ICE 568,Karlsruhe Hbf,1,2024-07-02 11:13:00,False,ICE,-5628776902806503379-2407020903,5,2024-07-02 11:02:00,2024-07-02 11:03:00,2024-07-02 11:12:00,2024-07-02 11:13:00
Stuttgart Hbf,ICE 593,München Hbf,51,2024-07-02 12:06:00,False,ICE,2269193621654513451-2407020516,11,2024-07-02 11:08:00,2024-07-02 12:01:00,2024-07-02 11:15:00,2024-07-02 12:06:00
Stuttgart Hbf,ICE 915,München Hbf,23,2024-07-02 11:51:00,False,ICE,400157404087783375-2407020751,10,2024-07-02 11:22:00,2024-07-02 11:42:00,2024-07-02 11:28:00,2024-07-02 11:51:00
Stuttgart Hbf,ICE 610,Hamburg-Altona,2,2024-07-02 11:53:00,False,ICE,9011011619156863439-2407020927,5,2024-07-02 11:45:00,2024-07-02 11:46:00,2024-07-02 11:51:00,2024-07-02 11:53:00
Stuttgart Hbf,ICE 918,Dortmund Hbf,1,2024-07-02 12:39:00,False,ICE,7844358081895785158-2407021030,4,2024-07-02 12:32:00,2024-07-02 12:32:00,2024-07-02 12:38:00,2024-07-02 12:39:00
Stuttgart Hbf,ICE 515,München Hbf,10,2024-07-02 12:24:00,False,ICE,6512354943507599026-2407020529,15,2024-07-02 12:08:00,2024-07-02 12:19:00,2024-07-02 12:14:00,2024-07-02 12:24:00
Stuttgart Hbf,ICE 565,München Hbf,0,2024-07-02 12:51:00,False,ICE,3705893801311502416-2407021205,3,2024-07-02 12:45:00,2024-07-02 12:46:00,2024-07-02 12:51:00,2024-07-02 12:51:00
Stuttgart Hbf,ICE 119,Innsbruck Hbf,40,2024-07-02 13:37:00,False,ICE,-5651847012247675964-2407020753,14,2024-07-02 12:48:00,2024-07-02 13:29:00,2024-07-02 12:57:00,2024-07-02 13:37:00
Stuttgart Hbf,ICE 1218,Berlin Gesundbrunnen,0,2024-07-02 12:51:00,False,ICE,8983673647294408675-2407020840,11,2024-07-02 12:43:00,2024-07-02 12:46:00,2024-07-02 12:51:00,2024-07-02 12:51:00
Stuttgart Hbf,ICE 917,München Hbf,4,2024-07-02 13:32:00,False,ICE,-1038875971032103661-2407021045,6,2024-07-02 13:20:00,2024-07-02 13:24:00,2024-07-02 13:28:00,2024-07-02 13:32:00
Stuttgart Hbf,ICE 595,München Hbf,83,2024-07-02 14:38:00,False,ICE,-2221597426497896240-2407020726,10,2024-07-02 13:08:00,2024-07-02 14:33:00,2024-07-02 13:15:00,2024-07-02 14:38:00
Stuttgart Hbf,ICE 518,Hamburg-Altona,1,2024-07-02 13:52:00,False,ICE,-6452407069337976676-2407021128,5,2024-07-02 13:45:00,2024-07-02 13:47:00,2024-07-02 13:51:00,2024-07-02 13:52:00
Stuttgart Hbf,ICE 566,Karlsruhe Hbf,16,2024-07-02 13:25:00,True,ICE,-4243685153474784824-2407021103,5,2024-07-02 13:02:00,2024-07-02 13:20:00,2024-07-02 13:09:00,2024-07-02 13:25:00
Stuttgart Hbf,ICE 118,Münster(Westf)Hbf,10,2024-07-02 15:22:00,False,ICE,-2026324236731915142-2407020854,20,2024-07-02 14:59:00,2024-07-02 15:07:00,2024-07-02 15:12:00,2024-07-02 15:22:00
Stuttgart Hbf,ICE 517,München Hbf,19,2024-07-02 14:33:00,False,ICE,-4602427783665327588-2407020728,14,2024-07-02 14:08:00,2024-07-02 14:28:00,2024-07-02 14:14:00,2024-07-02 14:33:00
Stuttgart Hbf,ICE 567,München Hbf,1,2024-07-02 14:52:00,False,ICE,3762301582140299933-2407021405,3,2024-07-02 14:45:00,2024-07-02 14:45:00,2024-07-02 14:51:00,2024-07-02 14:52:00
Stuttgart Hbf,ICE 596,Berlin Gesundbrunnen,1,2024-07-02 14:52:00,False,ICE,4083739950560377043-2407021246,5,2024-07-02 14:43:00,2024-07-02 14:43:00,2024-07-02 14:51:00,2024-07-02 14:52:00
Stuttgart Hbf,ICE 114,Dortmund Hbf,2,2024-07-02 16:09:00,False,ICE,-940035628142522529-2407020842,23,2024-07-02 15:59:00,2024-07-02 16:01:00,2024-07-02 16:07:00,2024-07-02 16:09:00
Stuttgart Hbf,ICE 597,München Hbf,22,2024-07-02 15:37:00,False,ICE,5254114651454294172-2407020915,11,2024-07-02 15:08:00,2024-07-02 15:28:00,2024-07-02 15:15:00,2024-07-02 15:37:00
